Date,GS3,GS1,GS10,GS5,GS3M,GS6M
01/04/2001,4.420000076,3.980000019,5.139999866,4.760000229,3.970000029,3.99000001
01/05/2001,4.510000229,3.779999971,5.389999866,4.929999828,3.700000048,3.74000001
01/06/2001,4.349999905,3.579999924,5.28000021,4.809999943,3.569999933,3.559999943
01/07/2001,4.309999943,3.619999886,5.239999771,4.760000229,3.589999914,3.559999943
01/08/2001,4.039999962,3.470000029,4.96999979,4.570000172,3.440000057,3.390000105
01/09/2001,3.450000048,2.819999933,4.730000019,4.119999886,2.690000057,2.710000038
01/10/2001,3.140000105,2.329999924,4.570000172,3.910000086,2.200000048,2.170000076
01/11/2001,3.220000029,2.180000067,4.650000095,3.970000029,1.909999967,1.919999957
01/12/2001,3.619999886,2.220000029,5.090000153,4.389999866,1.720000029,1.820000052
01/01/2002,3.559999943,2.160000086,5.039999962,4.340000153,1.679999948,1.769999981
01/02/2002,3.549999952,2.230000019,4.909999847,4.300000191,1.75999999,1.860000014
01/03/2002,4.139999866,2.569999933,5.28000021,4.739999771,1.830000043,2.059999943
01/04/2002,4.010000229,2.480000019,5.210000038,4.650000095,1.75,1.980000019
01/05/2002,3.799999952,2.349999905,5.159999847,4.489999771,1.75999999,1.909999967
01/06/2002,3.49000001,2.200000048,4.929999828,4.190000057,1.730000019,1.830000043
01/07/2002,3.00999999,1.960000038,4.650000095,3.809999943,1.710000038,1.74000001
01/08/2002,2.519999981,1.75999999,4.260000229,3.289999962,1.649999976,1.639999986
01/09/2002,2.319999933,1.720000029,3.869999886,2.940000057,1.659999967,1.639999986
01/10/2002,2.25,1.649999976,3.940000057,2.950000048,1.610000014,1.590000033
01/11/2002,2.319999933,1.49000001,4.050000191,3.049999952,1.25,1.299999952
01/12/2002,2.230000019,1.450000048,4.03000021,3.029999971,1.210000038,1.269999981
01/01/2003,2.180000067,1.360000014,4.050000191,3.049999952,1.190000057,1.220000029
01/02/2003,2.049999952,1.299999952,3.900000095,2.900000095,1.190000057,1.200000048
01/03/2003,1.980000019,1.24000001,3.809999943,2.779999971,1.149999976,1.159999967
01/04/2003,2.059999943,1.269999981,3.960000038,2.930000067,1.149999976,1.169999957
01/05/2003,1.75,1.179999948,3.569999933,2.519999981,1.090000033,1.110000014
01/06/2003,1.50999999,1.00999999,3.329999924,2.269999981,0.939999998,0.939999998
01/07/2003,1.929999948,1.120000005,3.980000019,2.869999886,0.920000017,0.970000029
01/08/2003,2.440000057,1.309999943,4.449999809,3.369999886,0.970000029,1.049999952
01/09/2003,2.230000019,1.24000001,4.269999981,3.180000067,0.959999979,1.029999971
01/10/2003,2.25999999,1.25,4.289999962,3.190000057,0.939999998,1.019999981
01/11/2003,2.450000048,1.340000033,4.300000191,3.289999962,0.949999988,1.039999962
01/12/2003,2.440000057,1.309999943,4.269999981,3.269999981,0.910000026,1.00999999
01/01/2004,2.269999981,1.24000001,4.150000095,3.119999886,0.899999976,0.99000001
01/02/2004,2.25,1.24000001,4.079999924,3.069999933,0.939999998,1.00999999
01/03/2004,2,1.190000057,3.829999924,2.789999962,0.949999988,1.00999999
01/04/2004,2.569999933,1.429999948,4.349999905,3.390000105,0.959999979,1.110000014
01/05/2004,3.099999905,1.779999971,4.71999979,3.849999905,1.039999962,1.330000043
01/06/2004,3.25999999,2.119999886,4.730000019,3.930000067,1.289999962,1.639999986
